accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,number_of_reviews
4,1,1,2,159,4,365,33
2,1,1,1,209,4,730,2
3,1,1,2,50,2,1125,3
2,1,1,1,175,1,30,1
3,1,1,2,130,1,1125,14
9,2.5,5,5,329,3,1125,0
1,1,1,1,64,1,1125,4
2,1,1,1,70,1,1125,2
2,1,1,1,80,3,730,77
5,2,3,3,800,1,1125,0
4,1,1,1,41,1,1125,1
2,1,1,1,55,2,1365,0
4,1,1,1,65,1,1095,1
3,1,1,1,42,1,1125,3
6,2.5,1,4,60,1,1125,0
2,1,1,1,39,2,1125,0
6,2,2,2,300,2,1125,2
2,1,1,1,100,2,1125,0
1,1.5,1,1,60,2,1125,9
6,1,2,3,140,4,90,53
2,1,1,1,95,2,1125,53
2,1,1,1,150,1,1125,0
2,1,1,1,214,1,1125,16
4,1,1,2,129,2,1125,362
2,1,0,1,100,1,1125,0
2,1.5,1,1,120,1,1125,13
4,1.5,2,2,399,1,1125,27
2,1,1,1,84,3,21,36
2,1,1,1,110,2,1125,6
5,2,2,2,200,2,1125,0
4,1,0,2,120,1,1125,9
2,1,1,1,83,1,1125,6
6,1,1,3,79,1,365,117
7,2,4,4,299,1,1125,2
3,1,1,2,207,3,1125,2
2,1,1,1,55,2,1125,19
2,1,1,1,85,2,7,102
2,1,1,1,135,3,1125,5
3,1,1,1,100,1,1125,7
4,1,1,1,70,2,365,6
3,1,0,1,100,1,8,2
4,2,2,2,230,3,29,29
2,2,1,3,140,1,1125,6
6,2,3,3,495,2,1125,11
2,1,1,1,115,1,1125,1
1,1,1,1,65,1,1125,0
2,1,0,1,115,3,14,72
2,1,1,1,99,1,1125,2
2,1,0,1,158,2,1125,22
10,4.5,4,5,399,2,1125,0
2,1.5,1,1,150,1,1125,0
4,2,2,2,289,7,730,1
4,1,2,2,150,2,14,43
2,1,1,1,350,5,14,3
5,2,2,3,298,3,1125,2
1,1,1,1,70,1,1125,2
2,1,1,1,130,2,1125,4
2,1,1,1,100,3,1125,22
2,1,1,1,125,3,10,12
3,1,1,2,150,2,1125,7
1,1,1,1,95,1,1125,0
3,1,1,2,130,3,1125,44
3,1,1,1,250,2,1125,0
4,1,1,1,175,1,1125,0
2,1,1,1,69,14,28,2
2,1,1,1,175,1,1125,4
2,1,1,1,85,1,1125,2
4,1,2,2,180,5,25,1
6,1,2,3,150,4,90,84
3,1,1,1,139,1,1125,52
2,1,1,1,111,1,1125,6
2,1,1,1,95,1,1125,3
1,1,1,1,85,1,1125,5
3,1,1,1,115,7,1125,11
4,2,2,2,199,7,180,13
2,1,1,1,150,2,1125,7
4,1,1,1,115,2,29,49
1,2.5,1,1,99,2,365,120
2,1,0,1,85,1,1125,0
2,1,1,1,193,3,1125,2
5,2,2,3,298,3,1125,5
1,1,1,1,63,1,1125,15
8,2.5,3,5,299,1,1125,1
4,1,1,1,185,3,90,3
4,1.5,2,2,120,1,5,3
2,1,1,1,125,1,365,5
2,2,1,1,110,1,1125,13
1,1.5,1,1,93,1,1125,35
